"Monthly commercial disappearance of dry skim milk products, 1995–current (millions of pounds)",,,,,,,,,,,,,,Back to content page,,,
,,Supply,,,,,,,,,"USDA net removals, barters, and CCC donations 2",Commercial use,,,Ending manufacturers' stocks,,
,,Beginning manufacturers' stocks,,,Production,,,,Imports,Total supply,,,,,,,
,,"Nonfat dry milk 
(NDM)",Dry skim milk for animal use,Total,NDM,"Skim milk powder 
(SMP) 1",Dry skim milk for animal use,Total,,,,Domestic commercial disappearance,Commercial exports 3,Total commercial disappearance,NDM,Dry skim milk for animal use,Total 4
1995,Jan,103.5,1.6,105.1,113.8,,1.0,114.8,0.0,219.9,29.5,73.8,0.0,73.8,114.8,1.8,116.6
,Feb,114.8,1.8,116.6,98.2,,0.8,99.0,0.0,215.6,45.8,73.8,0.2,73.9,94.0,1.9,95.8
,Mar,94.0,1.9,95.8,118.6,,0.8,119.3,0.1,215.3,46.6,68.7,0.7,69.4,97.5,1.7,99.2
,Apr,97.5,1.7,99.2,124.9,,0.7,125.6,0.0,224.9,45.3,50.3,0.5,50.8,127.1,1.7,128.8
,May,127.1,1.7,128.8,137.0,,1.1,138.1,0.0,266.9,44.8,90.9,0.4,91.2,129.0,1.9,130.9
,Jun,129.0,1.9,130.9,127.9,,1.2,129.1,0.0,260.0,22.9,92.1,0.7,92.9,141.9,2.3,144.2
,Jul,141.9,2.3,144.2,107.4,,0.9,108.3,0.0,252.5,24.1,86.3,0.1,86.4,140.2,1.8,142.0
,Aug,140.2,1.8,142.0,82.3,,0.8,83.0,0.0,225.1,26.1,94.3,0.6,94.9,102.1,1.9,104.1
,Sep,102.1,1.9,104.1,71.9,,0.5,72.4,0.0,176.4,18.0,78.2,0.3,78.5,78.3,1.7,80.0
,Oct,78.3,1.7,80.0,75.6,,0.4,76.0,0.0,156.0,26.0,58.5,0.2,58.7,70.1,1.2,71.3
,Nov,70.1,1.2,71.3,72.6,,0.4,73.0,0.1,144.3,7.6,85.3,0.2,85.5,50.3,1.0,51.3
